id;name;collaborative;description;primary_color;cover;thumbnail;public_accessible;number_songs;followers;rating;user_id
1;Analyst paradigms;false;../fake-data/blob/hipster.txt;ubiquitous;Public-key Granite;Way Dominican Republic;true;67213;8085;76161;1
2;Re-contextualized;true;../fake-data/blob/hipster.txt;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;true;59089;32595;67756;1
3;firewall;true;../fake-data/blob/hipster.txt;turn-key;Sausages;disintermediate Cambridgeshire hacking;true;34106;73521;11347;1
4;Tanzania Fiji Dollar Profound;false;../fake-data/blob/hipster.txt;Designer Borders content-based;Tasty Customer Human;pink even-keeled;true;72595;84666;89711;2
5;drive THX bypassing;true;../fake-data/blob/hipster.txt;solid state;Home Loan Account Tools Unbranded;Supervisor clear-thinking;false;54873;48561;69189;1
6;Manager Fish;false;../fake-data/blob/hipster.txt;Bedfordshire;navigate;program alarm;false;56830;54254;9367;2
7;withdrawal Ergonomic;true;../fake-data/blob/hipster.txt;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;false;72245;49919;28077;2
8;calculate;false;../fake-data/blob/hipster.txt;Representative;Response Human;back up Factors;false;42818;55276;96665;2
9;Facilitator Incredible functionalities;false;../fake-data/blob/hipster.txt;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;false;14008;25416;51832;1
10;portal calculating Metal;true;../fake-data/blob/hipster.txt;France protocol;open-source HDD;Sleek Beauty Auto Loan Account;false;64996;7094;70196;1
